ID,Name,Team,Score,Matches_Played,Goals,Assists,Yellow_Cards,Red_Cards
2195,Player 6,Team 1,15,6,0,2,1,1
2196,Player 7,Team 2,16,7,1,0,0,0
2197,Player 8,Team 3,17,8,2,1,1,1
2198,Player 9,Team 4,18,9,3,2,0,0
2199,Player 10,Team 5,19,10,4,0,1,1
2200,Player 1,Team 1,0,1,0,1,0,0
2201,Player 2,Team 2,1,2,1,2,1,1
2202,Player 3,Team 3,2,3,2,0,0,0
2203,Player 4,Team 4,3,4,3,1,1,1
2204,Player 5,Team 5,4,5,4,2,0,0
2205,Player 6,Team 1,5,6,0,0,1,1
2206,Player 7,Team 2,6,7,1,1,0,0
2207,Player 8,Team 3,7,8,2,2,1,1
2208,Player 9,Team 4,8,9,3,0,0,0
2209,Player 10,Team 5,9,10,4,1,1,1
2210,Player 1,Team 1,10,1,0,2,0,0
2211,Player 2,Team 2,11,2,1,0,1,1
2212,Player 3,Team 3,12,3,2,1,0,0
2213,Player 4,Team 4,13,4,3,2,1,1
2214,Player 5,Team 5,14,5,4,0,0,0
2215,Player 6,Team 1,15,6,0,1,1,1
2216,Player 7,Team 2,16,7,1,2,0,0
2217,Player 8,Team 3,17,8,2,0,1,1
2218,Player 9,Team 4,18,9,3,1,0,0
2219,Player 10,Team 5,19,10,4,2,1,1
2220,Player 1,Team 1,0,1,0,0,0,0
2221,Player 2,Team 2,1,2,1,1,1,1
2222,Player 3,Team 3,2,3,2,2,0,0
2223,Player 4,Team 4,3,4,3,0,1,1
2224,Player 5,Team 5,4,5,4,1,0,0
2225,Player 6,Team 1,5,6,0,2,1,1
2226,Player 7,Team 2,6,7,1,0,0,0
2227,Player 8,Team 3,7,8,2,1,1,1
2228,Player 9,Team 4,8,9,3,2,0,0
2229,Player 10,Team 5,9,10,4,0,1,1
2230,Player 1,Team 1,10,1,0,1,0,0
2231,Player 2,Team 2,11,2,1,2,1,1
2232,Player 3,Team 3,12,3,2,0,0,0
2233,Player 4,Team 4,13,4,3,1,1,1
2234,Player 5,Team 5,14,5,4,2,0,0
2235,Player 6,Team 1,15,6,0,0,1,1
2236,Player 7,Team 2,16,7,1,1,0,0
2237,Player 8,Team 3,17,8,2,2,1,1
2238,Player 9,Team 4,18,9,3,0,0,0
2239,Player 10,Team 5,19,10,4,1,1,1
2240,Player 1,Team 1,0,1,0,2,0,0
2241,Player 2,Team 2,1,2,1,0,1,1
2242,Player 3,Team 3,2,3,2,1,0,0
2243,Player 4,Team 4,3,4,3,2,1,1
2244,Player 5,Team 5,4,5,4,0,0,0
2245,Player 6,Team 1,5,6,0,1,1,1
2246,Player 7,Team 2,6,7,1,2,0,0
2247,Player 8,Team 3,7,8,2,0,1,1
2248,Player 9,Team 4,8,9,3,1,0,0
2249,Player 10,Team 5,9,10,4,2,1,1
2250,Player 1,Team 1,10,1,0,0,0,0
2251,Player 2,Team 2,11,2,1,1,1,1
2252,Player 3,Team 3,12,3,2,2,0,0
2253,Player 4,Team 4,13,4,3,0,1,1
2254,Player 5,Team 5,14,5,4,1,0,0
2255,Player 6,Team 1,15,6,0,2,1,1
2256,Player 7,Team 2,16,7,1,0,0,0
2257,Player 8,Team 3,17,8,2,1,1,1
2258,Player 9,Team 4,18,9,3,2,0,0
2259,Player 10,Team 5,19,10,4,0,1,1
2260,Player 1,Team 1,0,1,0,1,0,0
2261,Player 2,Team 2,1,2,1,2,1,1
2262,Player 3,Team 3,2,3,2,0,0,0
2263,Player 4,Team 4,3,4,3,1,1,1
2264,Player 5,Team 5,4,5,4,2,0,0
2265,Player 6,Team 1,5,6,0,0,1,1
2266,Player 7,Team 2,6,7,1,1,0,0
2267,Player 8,Team 3,7,8,2,2,1,1
2268,Player 9,Team 4,8,9,3,0,0,0
2269,Player 10,Team 5,9,10,4,1,1,1
2270,Player 1,Team 1,10,1,0,2,0,0
2271,Player 2,Team 2,11,2,1,0,1,1
2272,Player 3,Team 3,12,3,2,1,0,0
2273,Player 4,Team 4,13,4,3,2,1,1
2274,Player 5,Team 5,14,5,4,0,0,0
2275,Player 6,Team 1,15,6,0,1,1,1
2276,Player 7,Team 2,16,7,1,2,0,0
2277,Player 8,Team 3,17,8,2,0,1,1
2278,Player 9,Team 4,18,9,3,1,0,0
2279,Player 10,Team 5,19,10,4,2,1,1
2280,Player 1,Team 1,0,1,0,0,0,0
2281,Player 2,Team 2,1,2,1,1,1,1
2282,Player 3,Team 3,2,3,2,2,0,0
2283,Player 4,Team 4,3,4,3,0,1,1
2284,Player 5,Team 5,4,5,4,1,0,0
2285,Player 6,Team 1,5,6,0,2,1,1
2286,Player 7,Team 2,6,7,1,0,0,0
2287,Player 8,Team 3,7,8,2,1,1,1
2288,Player 9,Team 4,8,9,3,2,0,0
2289,Player 10,Team 5,9,10,4,0,1,1
2290,Player 1,Team 1,10,1,0,1,0,0
2291,Player 2,Team 2,11,2,1,2,1,1
2292,Player 3,Team 3,12,3,2,0,0,0
2293,Player 4,Team 4,13,4,3,1,1,1
2294,Player 5,Team 5,14,5,4,2,0,0
2295,Player 6,Team 1,15,6,0,0,1,1
2296,Player 7,Team 2,16,7,1,1,0,0
2297,Player 8,Team 3,17,8,2,2,1,1
2298,Player 9,Team 4,18,9,3,0,0,0
2299,Player 10,Team 5,19,10,4,1,1,1
2300,Player 1,Team 1,0,1,0,2,0,0
2301,Player 2,Team 2,1,2,1,0,1,1
2302,Player 3,Team 3,2,3,2,1,0,0
2303,Player 4,Team 4,3,4,3,2,1,1
2304,Player 5,Team 5,4,5,4,0,0,0
2305,Player 6,Team 1,5,6,0,1,1,1
2306,Player 7,Team 2,6,7,1,2,0,0
2307,Player 8,Team 3,7,8,2,0,1,1
2308,Player 9,Team 4,8,9,3,1,0,0
2309,Player 10,Team 5,9,10,4,2,1,1
2310,Player 1,Team 1,10,1,0,0,0,0
2311,Player 2,Team 2,11,2,1,1,1,1
2312,Player 3,Team 3,12,3,2,2,0,0
2313,Player 4,Team 4,13,4,3,0,1,1
2314,Player 5,Team 5,14,5,4,1,0,0
2315,Player 6,Team 1,15,6,0,2,1,1
2316,Player 7,Team 2,16,7,1,0,0,0
2317,Player 8,Team 3,17,8,2,1,1,1
2318,Player 9,Team 4,18,9,3,2,0,0
2319,Player 10,Team 5,19,10,4,0,1,1
2320,Player 1,Team 1,0,1,0,1,0,0
2321,Player 2,Team 2,1,2,1,2,1,1
2322,Player 3,Team 3,2,3,2,0,0,0
2323,Player 4,Team 4,3,4,3,1,1,1
2324,Player 5,Team 5,4,5,4,2,0,0
2325,Player 6,Team 1,5,6,0,0,1,1
2326,Player 7,Team 2,6,7,1,1,0,0
2327,Player 8,Team 3,7,8,2,2,1,1
2328,Player 9,Team 4,8,9,3,0,0,0
2329,Player 10,Team 5,9,10,4,1,1,1
2330,Player 1,Team 1,10,1,0,2,0,0
2331,Player 2,Team 2,11,2,1,0,1,1
2332,Player 3,Team 3,12,3,2,1,0,0
2333,Player 4,Team 4,13,4,3,2,1,1
2334,Player 5,Team 5,14,5,4,0,0,0
2335,Player 6,Team 1,15,6,0,1,1,1
2336,Player 7,Team 2,16,7,1,2,0,0
2337,Player 8,Team 3,17,8,2,0,1,1
2338,Player 9,Team 4,18,9,3,1,0,0
2339,Player 10,Team 5,19,10,4,2,1,1
2340,Player 1,Team 1,0,1,0,0,0,0
2341,Player 2,Team 2,1,2,1,1,1,1
2342,Player 3,Team 3,2,3,2,2,0,0
2343,Player 4,Team 4,3,4,3,0,1,1
2344,Player 5,Team 5,4,5,4,1,0,0
2345,Player 6,Team 1,5,6,0,2,1,1
2346,Player 7,Team 2,6,7,1,0,0,0
2347,Player 8,Team 3,7,8,2,1,1,1
2348,Player 9,Team 4,8,9,3,2,0,0
2349,Player 10,Team 5,9,10,4,0,1,1
2350,Player 1,Team 1,10,1,0,1,0,0
2351,Player 2,Team 2,11,2,1,2,1,1
2352,Player 3,Team 3,12,3,2,0,0,0
2353,Player 4,Team 4,13,4,3,1,1,1
2354,Player 5,Team 5,14,5,4,2,0,0
2355,Player 6,Team 1,15,6,0,0,1,1
2356,Player 7,Team 2,16,7,1,1,0,0
2357,Player 8,Team 3,17,8,2,2,1,1
2358,Player 9,Team 4,18,9,3,0,0,0
2359,Player 10,Team 5,19,10,4,1,1,1
2360,Player 1,Team 1,0,1,0,2,0,0
2361,Player 2,Team 2,1,2,1,0,1,1
2362,Player 3,Team 3,2,3,2,1,0,0
2363,Player 4,Team 4,3,4,3,2,1,1
2364,Player 5,Team 5,4,5,4,0,0,0
2365,Player 6,Team 1,5,6,0,1,1,1
2366,Player 7,Team 2,6,7,1,2,0,0
2367,Player 8,Team 3,7,8,2,0,1,1
2368,Player 9,Team 4,8,9,3,1,0,0
2369,Player 10,Team 5,9,10,4,2,1,1
2370,Player 1,Team 1,10,1,0,0,0,0
2371,Player 2,Team 2,11,2,1,1,1,1
2372,Player 3,Team 3,12,3,2,2,0,0
2373,Player 4,Team 4,13,4,3,0,1,1
2374,Player 5,Team 5,14,5,4,1,0,0
2375,Player 6,Team 1,15,6,0,2,1,1
2376,Player 7,Team 2,16,7,1,0,0,0
2377,Player 8,Team 3,17,8,2,1,1,1
2378,Player 9,Team 4,18,9,3,2,0,0
2379,Player 10,Team 5,19,10,4,0,1,1
2380,Player 1,Team 1,0,1,0,1,0,0
2381,Player 2,Team 2,1,2,1,2,1,1
2382,Player 3,Team 3,2,3,2,0,0,0
2383,Player 4,Team 4,3,4,3,1,1,1
2384,Player 5,Team 5,4,5,4,2,0,0
2385,Player 6,Team 1,5,6,0,0,1,1
2386,Player 7,Team 2,6,7,1,1,0,0
2387,Player 8,Team 3,7,8,2,2,1,1
2388,Player 9,Team 4,8,9,3,0,0,0
2389,Player 10,Team 5,9,10,4,1,1,1
2390,Player 1,Team 1,10,1,0,2,0,0
2391,Player 2,Team 2,11,2,1,0,1,1
2392,Player 3,Team 3,12,3,2,1,0,0
2393,Player 4,Team 4,13,4,3,2,1,1
2394,Player 5,Team 5,14,5,4,0,0,0
2395,Player 6,Team 1,15,6,0,1,1,1
2396,Player 7,Team 2,16,7,1,2,0,0
2397,Player 8,Team 3,17,8,2,0,1,1
2398,Player 9,Team 4,18,9,3,1,0,0
2399,Player 10,Team 5,19,10,4,2,1,1
2400,Player 1,Team 1,0,1,0,0,0,0
2401,Player 2,Team 2,1,2,1,1,1,1
2402,Player 3,Team 3,2,3,2,2,0,0
2403,Player 4,Team 4,3,4,3,0,1,1
2404,Player 5,Team 5,4,5,4,1,0,0
2405,Player 6,Team 1,5,6,0,2,1,1
2406,Player 7,Team 2,6,7,1,0,0,0
2407,Player 8,Team 3,7,8,2,1,1,1
2408,Player 9,Team 4,8,9,3,2,0,0
2409,Player 10,Team 5,9,10,4,0,1,1
2410,Player 1,Team 1,10,1,0,1,0,0
2411,Player 2,Team 2,11,2,1,2,1,1
2412,Player 3,Team 3,12,3,2,0,0,0
2413,Player 4,Team 4,13,4,3,1,1,1
2414,Player 5,Team 5,14,5,4,2,0,0
2415,Player 6,Team 1,15,6,0,0,1,1
2416,Player 7,Team 2,16,7,1,1,0,0
2417,Player 8,Team 3,17,8,2,2,1,1
2418,Player 9,Team 4,18,9,3,0,0,0
2419,Player 10,Team 5,19,10,4,1,1,1
2420,Player 1,Team 1,0,1,0,2,0,0
2421,Player 2,Team 2,1,2,1,0,1,1
2422,Player 3,Team 3,2,3,2,1,0,0
2423,Player 4,Team 4,3,4,3,2,1,1
2424,Player 5,Team 5,4,5,4,0,0,0
2425,Player 6,Team 1,5,6,0,1,1,1
2426,Player 7,Team 2,6,7,1,2,0,0
2427,Player 8,Team 3,7,8,2,0,1,1
2428,Player 9,Team 4,8,9,3,1,0,0
2429,Player 10,Team 5,9,10,4,2,1,1
2430,Player 1,Team 1,10,1,0,0,0,0
2431,Player 2,Team 2,11,2,1,1,1,1
2432,Player 3,Team 3,12,3,2,2,0,0
2433,Player 4,Team 4,13,4,3,0,1,1
2434,Player 5,Team 5,14,5,4,1,0,0
2435,Player 6,Team 1,15,6,0,2,1,1
2436,Player 7,Team 2,16,7,1,0,0,0
2437,Player 8,Team 3,17,8,2,1,1,1
2438,Player 9,Team 4,18,9,3,2,0,0
2439,Player 10,Team 5,19,10,4,0,1,1
2440,Player 1,Team 1,0,1,0,1,0,0
2441,Player 2,Team 2,1,2,1,2,1,1
2442,Player 3,Team 3,2,3,2,0,0,0
2443,Player 4,Team 4,3,4,3,1,1,1
2444,Player 5,Team 5,4,5,4,2,0,0
2445,Player 6,Team 1,5,6,0,0,1,1
2446,Player 7,Team 2,6,7,1,1,0,0
2447,Player 8,Team 3,7,8,2,2,1,1
2448,Player 9,Team 4,8,9,3,0,0,0
2449,Player 10,Team 5,9,10,4,1,1,1
2450,Player 1,Team 1,10,1,0,2,0,0
2451,Player 2,Team 2,11,2,1,0,1,1
2452,Player 3,Team 3,12,3,2,1,0,0
2453,Player 4,Team 4,13,4,3,2,1,1
2454,Player 5,Team 5,14,5,4,0,0,0
2455,Player 6,Team 1,15,6,0,1,1,1
2456,Player 7,Team 2,16,7,1,2,0,0
2457,Player 8,Team 3,17,8,2,0,1,1
2458,Player 9,Team 4,18,9,3,1,0,0
2459,Player 10,Team 5,19,10,4,2,1,1
2460,Player 1,Team 1,0,1,0,0,0,0
2461,Player 2,Team 2,1,2,1,1,1,1
2462,Player 3,Team 3,2,3,2,2,0,0
2463,Player 4,Team 4,3,4,3,0,1,1
2464,Player 5,Team 5,4,5,4,1,0,0
2465,Player 6,Team 1,5,6,0,2,1,1
2466,Player 7,Team 2,6,7,1,0,0,0
2467,Player 8,Team 3,7,8,2,1,1,1
2468,Player 9,Team 4,8,9,3,2,0,0
2469,Player 10,Team 5,9,10,4,0,1,1
2470,Player 1,Team 1,10,1,0,1,0,0
2471,Player 2,Team 2,11,2,1,2,1,1
2472,Player 3,Team 3,12,3,2,0,0,0
2473,Player 4,Team 4,13,4,3,1,1,1
2474,Player 5,Team 5,14,5,4,2,0,0
2475,Player 6,Team 1,15,6,0,0,1,1
2476,Player 7,Team 2,16,7,1,1,0,0
2477,Player 8,Team 3,17,8,2,2,1,1
2478,Player 9,Team 4,18,9,3,0,0,0
2479,Player 10,Team 5,19,10,4,1,1,1
2480,Player 1,Team 1,0,1,0,2,0,0
2481,Player 2,Team 2,1,2,1,0,1,1
2482,Player 3,Team 3,2,3,2,1,0,0
2483,Player 4,Team 4,3,4,3,2,1,1
2484,Player 5,Team 5,4,5,4,0,0,0
2485,Player 6,Team 1,5,6,0,1,1,1
2486,Player 7,Team 2,6,7,1,2,0,0
2487,Player 8,Team 3,7,8,2,0,1,1
2488,Player 9,Team 4,8,9,3,1,0,0
2489,Player 10,Team 5,9,10,4,2,1,1
2490,Player 1,Team 1,10,1,0,0,0,0
2491,Player 2,Team 2,11,2,1,1,1,1
2492,Player 3,Team 3,12,3,2,2,0,0
2493,Player 4,Team 4,13,4,3,0,1,1
2494,Player 5,Team 5,14,5,4,1,0,0
2495,Player 6,Team 1,15,6,0,2,1,1
2496,Player 7,Team 2,16,7,1,0,0,0
2497,Player 8,Team 3,17,8,2,1,1,1
2498,Player 9,Team 4,18,9,3,2,0,0
2499,Player 10,Team 5,19,10,4,0,1,1
2500,Player 1,Team 1,0,1,0,1,0,0
2501,Player 2,Team 2,1,2,1,2,1,1
2502,Player 3,Team 3,2,3,2,0,0,0
2503,Player 4,Team 4,3,4,3,1,1,1
2504,Player 5,Team 5,4,5,4,2,0,0
2505,Player 6,Team 1,5,6,0,0,1,1
2506,Player 7,Team 2,6,7,1,1,0,0
2507,Player 8,Team 3,7,8,2,2,1,1
2508,Player 9,Team 4,8,9,3,0,0,0
2509,Player 10,Team 5,9,10,4,1,1,1
2510,Player 1,Team 1,10,1,0,2,0,0
2511,Player 2,Team 2,11,2,1,0,1,1
2512,Player 3,Team 3,12,3,2,1,0,0
2513,Player 4,Team 4,13,4,3,2,1,1
2514,Player 5,Team 5,14,5,4,0,0,0
2515,Player 6,Team 1,15,6,0,1,1,1
2516,Player 7,Team 2,16,7,1,2,0,0
2517,Player 8,Team 3,17,8,2,0,1,1
2518,Player 9,Team 4,18,9,3,1,0,0
2519,Player 10,Team 5,19,10,4,2,1,1
2520,Player 1,Team 1,0,1,0,0,0,0
2521,Player 2,Team 2,1,2,1,1,1,1
2522,Player 3,Team 3,2,3,2,2,0,0
2523,Player 4,Team 4,3,4,3,0,1,1
2524,Player 5,Team 5,4,5,4,1,0,0
2525,Player 6,Team 1,5,6,0,2,1,1
2526,Player 7,Team 2,6,7,1,0,0,0
2527,Player 8,Team 3,7,8,2,1,1,1
2528,Player 9,Team 4,8,9,3,2,0,0
2529,Player 10,Team 5,9,10,4,0,1,1
2530,Player 1,Team 1,10,1,0,1,0,0
2531,Player 2,Team 2,11,2,1,2,1,1
2532,Player 3,Team 3,12,3,2,0,0,0
2533,Player 4,Team 4,13,4,3,1,1,1
2534,Player 5,Team 5,14,5,4,2,0,0
2535,Player 6,Team 1,15,6,0,0,1,1
2536,Player 7,Team 2,16,7,1,1,0,0
2537,Player 8,Team 3,17,8,2,2,1,1
2538,Player 9,Team 4,18,9,3,0,0,0
2539,Player 10,Team 5,19,10,4,1,1,1
2540,Player 1,Team 1,0,1,0,2,0,0
2541,Player 2,Team 2,1,2,1,0,1,1
2542,Player 3,Team 3,2,3,2,1,0,0
2543,Player 4,Team 4,3,4,3,2,1,1
2544,Player 5,Team 5,4,5,4,0,0,0
2545,Player 6,Team 1,5,6,0,1,1,1
2546,Player 7,Team 2,6,7,1,2,0,0
2547,Player 8,Team 3,7,8,2,0,1,1
2548,Player 9,Team 4,8,9,3,1,0,0
2549,Player 10,Team 5,9,10,4,2,1,1
2550,Player 1,Team 1,10,1,0,0,0,0
2551,Player 2,Team 2,11,2,1,1,1,1
2552,Player 3,Team 3,12,3,2,2,0,0
2553,Player 4,Team 4,13,4,3,0,1,1
2554,Player 5,Team 5,14,5,4,1,0,0
2555,Player 6,Team 1,15,6,0,2,1,1
2556,Player 7,Team 2,16,7,1,0,0,0
2557,Player 8,Team 3,17,8,2,1,1,1
2558,Player 9,Team 4,18,9,3,2,0,0
2559,Player 10,Team 5,19,10,4,0,1,1
2560,Player 1,Team 1,0,1,0,1,0,0
2561,Player 2,Team 2,1,2,1,2,1,1
2562,Player 3,Team 3,2,3,2,0,0,0
2563,Player 4,Team 4,3,4,3,1,1,1
2564,Player 5,Team 5,4,5,4,2,0,0
2565,Player 6,Team 1,5,6,0,0,1,1
2566,Player 7,Team 2,6,7,1,1,0,0
2567,Player 8,Team 3,7,8,2,2,1,1
2568,Player 9,Team 4,8,9,3,0,0,0
2569,Player 10,Team 5,9,10,4,1,1,1
2570,Player 1,Team 1,10,1,0,2,0,0
2571,Player 2,Team 2,11,2,1,0,1,1
2572,Player 3,Team 3,12,3,2,1,0,0
2573,Player 4,Team 4,13,4,3,2,1,1
2574,Player 5,Team 5,14,5,4,0,0,0
2575,Player 6,Team 1,15,6,0,1,1,1
2576,Player 7,Team 2,16,7,1,2,0,0
2577,Player 8,Team 3,17,8,2,0,1,1
2578,Player 9,Team 4,18,9,3,1,0,0
2579,Player 10,Team 5,19,10,4,2,1,1
2580,Player 1,Team 1,0,1,0,0,0,0
2581,Player 2,Team 2,1,2,1,1,1,1
2582,Player 3,Team 3,2,3,2,2,0,0
2583,Player 4,Team 4,3,4,3,0,1,1
2584,Player 5,Team 5,4,5,4,1,0,0
2585,Player 6,Team 1,5,6,0,2,1,1
2586,Player 7,Team 2,6,7,1,0,0,0
2587,Player 8,Team 3,7,8,2,1,1,1
2588,Player 9,Team 4,8,9,3,2,0,0
2589,Player 10,Team 5,9,10,4,0,1,1
2590,Player 1,Team 1,10,1,0,1,0,0
2591,Player 2,Team 2,11,2,1,2,1,1
2592,Player 3,Team 3,12,3,2,0,0,0
2593,Player 4,Team 4,13,4,3,1,1,1
2594,Player 5,Team 5,14,5,4,2,0,0
2595,Player 6,Team 1,15,6,0,0,1,1
2596,Player 7,Team 2,16,7,1,1,0,0
2597,Player 8,Team 3,17,8,2,2,1,1
2598,Player 9,Team 4,18,9,3,0,0,0
2599,Player 10,Team 5,19,10,4,1,1,1
2600,Player 1,Team 1,0,1,0,2,0,0
2601,Player 2,Team 2,1,2,1,0,1,1
2602,Player 3,Team 3,2,3,2,1,0,0
2603,Player 4,Team 4,3,4,3,2,1,1
2604,Player 5,Team 5,4,5,4,0,0,0
2605,Player 6,Team 1,5,6,0,1,1,1
2606,Player 7,Team 2,6,7,1,2,0,0
2607,Player 8,Team 3,7,8,2,0,1,1
2608,Player 9,Team 4,8,9,3,1,0,0
2609,Player 10,Team 5,9,10,4,2,1,1
2610,Player 1,Team 1,10,1,0,0,0,0
2611,Player 2,Team 2,11,2,1,1,1,1
2612,Player 3,Team 3,12,3,2,2,0,0
2613,Player 4,Team 4,13,4,3,0,1,1
2614,Player 5,Team 5,14,5,4,1,0,0
2615,Player 6,Team 1,15,6,0,2,1,1
2616,Player 7,Team 2,16,7,1,0,0,0
2617,Player 8,Team 3,17,8,2,1,1,1
2618,Player 9,Team 4,18,9,3,2,0,0
2619,Player 10,Team 5,19,10,4,0,1,1
2620,Player 1,Team 1,0,1,0,1,0,0
2621,Player 2,Team 2,1,2,1,2,1,1
2622,Player 3,Team 3,2,3,2,0,0,0
2623,Player 4,Team 4,3,4,3,1,1,1
2624,Player 5,Team 5,4,5,4,2,0,0
2625,Player 6,Team 1,5,6,0,0,1,1
2626,Player 7,Team 2,6,7,1,1,0,0
2627,Player 8,Team 3,7,8,2,2,1,1
2628,Player 9,Team 4,8,9,3,0,0,0
2629,Player 10,Team 5,9,10,4,1,1,1
2630,Player 1,Team 1,10,1,0,2,0,0
2631,Player 2,Team 2,11,2,1,0,1,1
2632,Player 3,Team 3,12,3,2,1,0,0
2633,Player 4,Team 4,13,4,3,2,1,1
2634,Player 5,Team 5,14,5,4,0,0,0
2635,Player 6,Team 1,15,6,0,1,1,1
2636,Player 7,Team 2,16,7,1,2,0,0
2637,Player 8,Team 3,17,8,2,0,1,1
2638,Player 9,Team 4,18,9,3,1,0,0
2639,Player 10,Team 5,19,10,4,2,1,1
2640,Player 1,Team 1,0,1,0,0,0,0
2641,Player 2,Team 2,1,2,1,1,1,1
2642,Player 3,Team 3,2,3,2,2,0,0
2643,Player 4,Team 4,3,4,3,0,1,1
2644,Player 5,Team 5,4,5,4,1,0,0
2645,Player 6,Team 1,5,6,0,2,1,1
2646,Player 7,Team 2,6,7,1,0,0,0
2647,Player 8,Team 3,7,8,2,1,1,1
2648,Player 9,Team 4,8,9,3,2,0,0
2649,Player 10,Team 5,9,10,4,0,1,1
2650,Player 1,Team 1,10,1,0,1,0,0
2651,Player 2,Team 2,11,2,1,2,1,1
2652,Player 3,Team 3,12,3,2,0,0,0
2653,Player 4,Team 4,13,4,3,1,1,1
2654,Player 5,Team 5,14,5,4,2,0,0
2655,Player 6,Team 1,15,6,0,0,1,1
2656,Player 7,Team 2,16,7,1,1,0,0
2657,Player 8,Team 3,17,8,2,2,1,1
2658,Player 9,Team 4,18,9,3,0,0,0
2659,Player 10,Team 5,19,10,4,1,1,1
2660,Player 1,Team 1,0,1,0,2,0,0
2661,Player 2,Team 2,1,2,1,0,1,1
2662,Player 3,Team 3,2,3,2,1,0,0
2663,Player 4,Team 4,3,4,3,2,1,1
2664,Player 5,Team 5,4,5,4,0,0,0
2665,Player 6,Team 1,5,6,0,1,1,1
2666,Player 7,Team 2,6,7,1,2,0,0
2667,Player 8,Team 3,7,8,2,0,1,1
2668,Player 9,Team 4,8,9,3,1,0,0
2669,Player 10,Team 5,9,10,4,2,1,1
2670,Player 1,Team 1,10,1,0,0,0,0
2671,Player 2,Team 2,11,2,1,1,1,1
2672,Player 3,Team 3,12,3,2,2,0,0
2673,Player 4,Team 4,13,4,3,0,1,1
2674,Player 5,Team 5,14,5,4,1,0,0
2675,Player 6,Team 1,15,6,0,2,1,1
2676,Player 7,Team 2,16,7,1,0,0,0
2677,Player 8,Team 3,17,8,2,1,1,1
2678,Player 9,Team 4,18,9,3,2,0,0
2679,Player 10,Team 5,19,10,4,0,1,1
2680,Player 1,Team 1,0,1,0,1,0,0
2681,Player 2,Team 2,1,2,1,2,1,1
2682,Player 3,Team 3,2,3,2,0,0,0
2683,Player 4,Team 4,3,4,3,1,1,1
2684,Player 5,Team 5,4,5,4,2,0,0
2685,Player 6,Team 1,5,6,0,0,1,1
2686,Player 7,Team 2,6,7,1,1,0,0
2687,Player 8,Team 3,7,8,2,2,1,1
2688,Player 9,Team 4,8,9,3,0,0,0
2689,Player 10,Team 5,9,10,4,1,1,1
2690,Player 1,Team 1,10,1,0,2,0,0
2691,Player 2,Team 2,11,2,1,0,1,1
2692,Player 3,Team 3,12,3,2,1,0,0
2693,Player 4,Team 4,13,4,3,2,1,1
2694,Player 5,Team 5,14,5,4,0,0,0
2695,Player 6,Team 1,15,6,0,1,1,1
2696,Player 7,Team 2,16,7,1,2,0,0
2697,Player 8,Team 3,17,8,2,0,1,1
2698,Player 9,Team 4,18,9,3,1,0,0
2699,Player 10,Team 5,19,10,4,2,1,1
2700,Player 1,Team 1,0,1,0,0,0,0
2701,Player 2,Team 2,1,2,1,1,1,1
2702,Player 3,Team 3,2,3,2,2,0,0
2703,Player 4,Team 4,3,4,3,0,1,1
2704,Player 5,Team 5,4,5,4,1,0,0
2705,Player 6,Team 1,5,6,0,2,1,1
2706,Player 7,Team 2,6,7,1,0,0,0
2707,Player 8,Team 3,7,8,2,1,1,1
2708,Player 9,Team 4,8,9,3,2,0,0
2709,Player 10,Team 5,9,10,4,0,1,1
2710,Player 1,Team 1,10,1,0,1,0,0
2711,Player 2,Team 2,11,2,1,2,1,1
2712,Player 3,Team 3,12,3,2,0,0,0
2713,Player 4,Team 4,13,4,3,1,1,1
2714,Player 5,Team 5,14,5,4,2,0,0
2715,Player 6,Team 1,15,6,0,0,1,1
2716,Player 7,Team 2,16,7,1,1,0,0
2717,Player 8,Team 3,17,8,2,2,1,1
2718,Player 9,Team 4,18,9,3,0,0,0
2719,Player 10,Team 5,19,10,4,1,1,1
2720,Player 1,Team 1,0,1,0,2,0,0
2721,Player 2,Team 2,1,2,1,0,1,1
2722,Player 3,Team 3,2,3,2,1,0,0
2723,Player 4,Team 4,3,4,3,2,1,1
2724,Player 5,Team 5,4,5,4,0,0,0
2725,Player 6,Team 1,5,6,0,1,1,1
2726,Player 7,Team 2,6,7,1,2,0,0
2727,Player 8,Team 3,7,8,2,0,1,1
2728,Player 9,Team 4,8,9,3,1,0,0
2729,Player 10,Team 5,9,10,4,2,1,1
2730,Player 1,Team 1,10,1,0,0,0,0
2731,Player 2,Team 2,11,2,1,1,1,1
2732,Player 3,Team 3,12,3,2,2,0,0
2733,Player 4,Team 4,13,4,3,0,1,1
2734,Player 5,Team 5,14,5,4,1,0,0
2735,Player 6,Team 1,15,6,0,2,1,1
2736,Player 7,Team 2,16,7,1,0,0,0
2737,Player 8,Team 3,17,8,2,1,1,1
2738,Player 9,Team 4,18,9,3,2,0,0
2739,Player 10,Team 5,19,10,4,0,1,1
2740,Player 1,Team 1,0,1,0,1,0,0
2741,Player 2,Team 2,1,2,1,2,1,1
2742,Player 3,Team 3,2,3,2,0,0,0
2743,Player 4,Team 4,3,4,3,1,1,1
2744,Player 5,Team 5,4,5,4,2,0,0
2745,Player 6,Team 1,5,6,0,0,1,1
2746,Player 7,Team 2,6,7,1,1,0,0
2747,Player 8,Team 3,7,8,2,2,1,1
2748,Player 9,Team 4,8,9,3,0,0,0
2749,Player 10,Team 5,9,10,4,1,1,1
2750,Player 1,Team 1,10,1,0,2,0,0
2751,Player 2,Team 2,11,2,1,0,1,1
2752,Player 3,Team 3,12,3,2,1,0,0
